phase	epoch	train_loss	train_acc	val_loss	val_acc	train_reward	val_reward	elapsed_sec
SL	1	0.792364	0.458260	0.788792	0.472182	nan	nan	0.146
SL	2	0.785314	0.481173	0.780734	0.488287	nan	nan	0.150
SL	3	0.778731	0.511456	0.773288	0.502196	nan	nan	0.154
SL	4	0.772607	0.529082	0.766439	0.522694	nan	nan	0.158
SL	5	0.766924	0.547989	0.760176	0.546120	nan	nan	0.161
SL	6	0.761652	0.564172	0.754477	0.562225	nan	nan	0.165
SL	7	0.756760	0.586765	0.749298	0.589312	nan	nan	0.169
SL	8	0.752215	0.596379	0.744604	0.618594	nan	nan	0.173
SL	9	0.747981	0.611601	0.740350	0.622255	nan	nan	0.176
SL	10	0.744021	0.618971	0.736489	0.633968	nan	nan	0.180
SL	11	0.740299	0.630828	0.732973	0.635432	nan	nan	0.183
SL	12	0.736785	0.638199	0.729756	0.642021	nan	nan	0.187
SL	13	0.733447	0.641404	0.726792	0.650073	nan	nan	0.190
SL	14	0.730263	0.649896	0.724044	0.655198	nan	nan	0.194
SL	15	0.727209	0.654543	0.721475	0.661786	nan	nan	0.198
SL	16	0.724266	0.659189	0.719059	0.661786	nan	nan	0.202
SL	17	0.721415	0.664637	0.716768	0.663250	nan	nan	0.205
SL	18	0.718644	0.668322	0.714585	0.666179	nan	nan	0.209
SL	19	0.715941	0.670886	0.712494	0.671303	nan	nan	0.212
SL	20	0.713294	0.674732	0.710483	0.674231	nan	nan	0.216
SL	21	0.710697	0.676654	0.708543	0.674963	nan	nan	0.219
SL	22	0.708145	0.678257	0.706672	0.680088	nan	nan	0.223
SL	23	0.705635	0.679699	0.704854	0.687409	nan	nan	0.226
SL	24	0.703164	0.680981	0.703084	0.688141	nan	nan	0.230
SL	25	0.700729	0.682262	0.701359	0.687409	nan	nan	0.234
SL	26	0.698328	0.685147	0.699676	0.690337	nan	nan	0.237
SL	27	0.695959	0.686268	0.698033	0.692533	nan	nan	0.241
SL	28	0.693621	0.687710	0.696426	0.690337	nan	nan	0.245
SL	29	0.691317	0.689473	0.694854	0.689605	nan	nan	0.248
SL	30	0.689047	0.690755	0.693329	0.691801	nan	nan	0.252
SL	31	0.686811	0.691556	0.691847	0.691801	nan	nan	0.255
SL	32	0.684610	0.695241	0.690404	0.691069	nan	nan	0.259
SL	33	0.682443	0.697004	0.689009	0.691069	nan	nan	0.263
SL	34	0.680314	0.698446	0.687661	0.688141	nan	nan	0.266
SL	35	0.678223	0.699087	0.686364	0.691069	nan	nan	0.270
SL	36	0.676171	0.699888	0.685118	0.695461	nan	nan	0.274
SL	37	0.674158	0.700208	0.683916	0.693265	nan	nan	0.277
SL	38	0.672185	0.701330	0.682763	0.688873	nan	nan	0.281
SL	39	0.670252	0.702452	0.681654	0.688873	nan	nan	0.285
SL	40	0.668359	0.703894	0.680591	0.686676	nan	nan	0.288
SL	41	0.666507	0.704054	0.679570	0.687409	nan	nan	0.291
SL	42	0.664696	0.706137	0.678584	0.684480	nan	nan	0.293
SL	43	0.662933	0.706778	0.677638	0.687409	nan	nan	0.296
SL	44	0.661216	0.707419	0.676728	0.688873	nan	nan	0.298
SL	45	0.659543	0.708220	0.675856	0.688873	nan	nan	0.301
SL	46	0.657918	0.708540	0.675026	0.688141	nan	nan	0.304
SL	47	0.656342	0.708540	0.674238	0.685944	nan	nan	0.307
SL	48	0.654812	0.709502	0.673497	0.683748	nan	nan	0.310
SL	49	0.653333	0.709181	0.672793	0.685212	nan	nan	0.313
SL	50	0.651903	0.708861	0.672127	0.683748	nan	nan	0.316
SL	51	0.650520	0.710303	0.671509	0.684480	nan	nan	0.318
SL	52	0.649186	0.710944	0.670934	0.686676	nan	nan	0.321
SL	53	0.647904	0.710784	0.670400	0.686676	nan	nan	0.324
SL	54	0.646673	0.711585	0.669913	0.687409	nan	nan	0.327
SL	55	0.645491	0.712867	0.669469	0.688873	nan	nan	0.330
SL	56	0.644360	0.713828	0.669068	0.686676	nan	nan	0.333
SL	57	0.643276	0.713668	0.668705	0.685944	nan	nan	0.335
SL	58	0.642241	0.713507	0.668388	0.685212	nan	nan	0.338
SL	59	0.641250	0.713828	0.668104	0.685212	nan	nan	0.341
SL	60	0.640302	0.714469	0.667862	0.684480	nan	nan	0.344
RL	1	0.643645	0.714629	0.669269	0.691801	0.442736	0.361073	1.189
RL	2	0.643436	0.714469	0.668922	0.691801	0.443371	0.362066	1.969
RL	3	0.643298	0.714309	0.668570	0.691801	0.443456	0.362761	2.729
RL	4	0.643158	0.714309	0.668310	0.689605	0.443859	0.364290	3.491
RL	5	0.643048	0.712867	0.668040	0.688873	0.444503	0.365007	4.285
RL	6	0.642943	0.712226	0.667838	0.690337	0.445057	0.397404	4.989
RL	7	0.642862	0.711745	0.667689	0.691069	0.445180	0.397295	5.612
RL	8	0.642817	0.711905	0.667535	0.689605	0.446002	0.398297	6.157
RL	9	0.642810	0.713027	0.667428	0.688873	0.446337	0.398649	6.714
RL	10	0.642853	0.713347	0.667360	0.688141	0.446644	0.400067	7.394
RL	11	0.642936	0.713988	0.667316	0.688141	0.447374	0.400067	7.959
RL	12	0.643033	0.714789	0.667280	0.689605	0.447832	0.400023	8.523
RL	13	0.643168	0.715270	0.667281	0.692533	0.449519	0.401173	9.192
RL	14	0.643350	0.715110	0.667314	0.691801	0.449650	0.401173	9.745
RL	15	0.643577	0.713828	0.667394	0.692533	0.450358	0.401109	10.298
RL	16	0.643848	0.712546	0.667489	0.688873	0.450251	0.401044	10.875
RL	17	0.644123	0.712546	0.667616	0.685944	0.450385	0.401007	11.445
RL	18	0.644425	0.711745	0.667769	0.688141	0.450374	0.401423	12.002
RL	19	0.644744	0.710784	0.667935	0.688141	0.450523	0.401353	12.673
RL	20	0.645083	0.710463	0.668127	0.685212	0.451054	0.403450	13.235
RL	21	0.645421	0.710303	0.668337	0.685212	0.452345	0.405480	13.792
RL	22	0.645794	0.710623	0.668579	0.685212	0.453187	0.405437	14.359
RL	23	0.646197	0.711424	0.668851	0.680820	0.454171	0.405895	14.914
RL	24	0.646628	0.710784	0.669144	0.678624	0.454445	0.405820	15.575
RL	25	0.647095	0.707579	0.669475	0.677892	0.455533	0.405797	16.190
RL	26	0.647580	0.707899	0.669821	0.675695	0.456151	0.405727	16.805
RL	27	0.648107	0.706618	0.670196	0.674963	0.456617	0.412108	17.376
RL	28	0.648688	0.705496	0.670650	0.673499	0.456892	0.412585	18.008
RL	29	0.649284	0.704214	0.671121	0.670571	0.457299	0.412478	18.591
RL	30	0.649878	0.703894	0.671598	0.670571	0.457979	0.414468	19.317
RL	31	0.650512	0.703253	0.672124	0.667643	0.457893	0.415806	19.899
RL	32	0.651136	0.703253	0.672676	0.665447	0.458850	0.416872	20.482
RL	33	0.651756	0.703253	0.673221	0.663982	0.459556	0.416798	21.073
RL	34	0.652362	0.702291	0.673761	0.663250	0.460800	0.417366	21.661
RL	35	0.652983	0.700849	0.674331	0.660322	0.461095	0.417859	22.259
RL	36	0.653622	0.699728	0.674934	0.656662	0.461134	0.417843	23.302
RL	37	0.654305	0.698286	0.675586	0.656662	0.461046	0.418323	24.120
RL	38	0.655017	0.697324	0.676274	0.656662	0.461485	0.419106	24.974
RL	39	0.655701	0.697484	0.676948	0.654466	0.461619	0.419520	25.865
RL	40	0.656425	0.695562	0.677651	0.654466	0.462299	0.419520	26.633
RL	41	0.657114	0.695401	0.678316	0.655930	0.462259	0.420551	27.288
RL	42	0.657799	0.694280	0.678981	0.656662	0.462449	0.421670	27.903
RL	43	0.658478	0.693799	0.679626	0.653734	0.462690	0.421588	28.571
RL	44	0.659160	0.692037	0.680271	0.654466	0.463135	0.422244	29.409
RL	45	0.659883	0.691716	0.680929	0.652269	0.463202	0.422234	30.285
RL	46	0.660623	0.691235	0.681612	0.653734	0.463159	0.423279	31.146
RL	47	0.661288	0.689633	0.682227	0.650805	0.463134	0.423161	32.289
RL	48	0.662039	0.686909	0.682933	0.650805	0.463404	0.423139	33.136
RL	49	0.662782	0.686589	0.683610	0.650073	0.463514	0.423070	33.980
RL	50	0.663550	0.685627	0.684305	0.649341	0.463539	0.422994	34.829
RL	51	0.664287	0.682262	0.684989	0.647145	0.463564	0.422977	35.677
RL	52	0.665016	0.681301	0.685709	0.642753	0.464131	0.424975	36.675
RL	53	0.665774	0.679378	0.686465	0.639824	0.464141	0.424958	37.280
RL	54	0.666559	0.678737	0.687270	0.639824	0.464469	0.424895	37.917
RL	55	0.667394	0.678577	0.688114	0.636896	0.464418	0.424843	38.527
RL	56	0.668242	0.677135	0.688977	0.633236	0.464542	0.424608	39.152
RL	57	0.669067	0.676013	0.689816	0.633968	0.465284	0.424569	40.210
RL	58	0.669843	0.674732	0.690625	0.633236	0.465621	0.425182	40.977
RL	59	0.670613	0.673770	0.691416	0.631772	0.466008	0.425182	41.618
RL	60	0.671319	0.672488	0.692157	0.633236	0.466246	0.425138	42.237
